title_id,genre_id
tm12499,1
tm12499,4
tm12499,6
tm192431,17
tm192431,6
tm192431,1
tm192431,4
tm192431,7
tm56033,17
tm56033,7
tm56033,4
tm56033,6
tm190486,9
tm190486,15
tm190486,1
tm190486,3
tm190486,8
tm61103,6
tm61103,4
tm61103,17
tm117488,6
tm117488,8
tm117488,14
tm117488,16
tm117488,1
tm55732,17
tm55732,11
tm191431,15
tm191431,1
tm191431,3
tm191431,17
tm17721,17
tm17721,4
tm17721,6
tm17721,7
ts20939,6
ts20939,3
ts20939,8
ts21693,3
ts21693,6
ts21693,8
ts22286,15
ts22286,3
ts22286,6
ts22286,8
ts22286,9
ts22286,14
ts22286,2
ts22286,1
tm190811,19
tm190811,6
tm190811,10
tm107659,14
tm107659,3
tm107659,6
ts21581,3
ts21581,6
tm7135,3
tm7073,1
tm7073,15
tm63514,6
tm63514,5
tm63514,18
ts20918,3
tm10811,14
tm10811,6
tm188970,3
tm188970,5
tm188606,6
tm188606,7
tm128073,3
tm64817,3
tm64817,5
tm320211,5
tm189171,6
tm189171,12
tm189171,14
tm67635,6
tm67635,14
tm67635,3
ts22080,3
ts22080,8
ts22080,1
ts22080,2
ts22080,7
ts22039,3
tm41525,6
tm41525,3
tm41525,4
tm7951,3
tm7951,5
ts21684,6
ts21684,14
ts21684,3
tm55100,6
tm55100,14
ts224786,6
tm204173,14
tm204173,3
tm204173,6
tm191614,6
tm191614,14
tm191614,3
tm191614,10
tm8859,3
tm424630,6
tm424630,16
tm12876,14
tm12876,6
tm52083,14
tm52083,18
tm52083,3
tm52083,6
tm52083,7
tm9898,6
tm9898,3
tm9898,14
tm9898,1
tm326102,6
tm326102,12
tm326102,8
tm12482,1
tm12482,6
tm12482,14
tm12482,4
tm128925,3
tm128925,9
tm128925,6
tm128925,4
tm52871,17
tm52871,1
tm52871,6
tm52871,14
ts28516,4
ts28516,6
tm62385,9
tm62385,14
tm62385,8
tm62385,6
tm184502,3
tm184502,6
tm184502,12
tm184502,14
tm7810,6
tm7810,4
tm7810,17
tm27601,3
tm27601,14
tm27601,6
tm8687,3
tm47530,6
tm47530,14
tm47530,3
tm105716,6
tm105716,14
tm117873,14
tm117873,3
tm117873,6
tm189773,14
tm189773,6
tm189773,17
tm7032,18
tm7032,6
tm7032,4
tm7032,7
tm58893,3
tm58893,1
tm58893,4
tm58893,17
tm340430,6
tm340430,1
tm340430,4
tm184326,6
tm184326,4
tm110225,14
tm110225,3
tm110225,6
tm34391,3
tm34391,5
tm21911,3
tm21911,12
tm21911,5
tm118438,17
tm118438,14
tm118438,6
tm62176,6
tm62176,14
tm57169,3
tm57169,5
tm184224,3
tm184224,5
tm44776,6
tm44776,7
tm44776,14
tm104933,3
tm104933,5
tm203186,5
tm203186,10
tm256669,1
tm256669,4
tm256669,6
tm256669,17
tm117840,6
tm334788,6
tm334788,1
tm110160,6
tm110160,3
tm192301,3
tm192301,6
tm192301,14
tm110766,6
