title_id,country_id
tm112235,105
tm101540,105
tm96052,10
tm134407,105
tm81864,95
tm346951,193
tm144263,105
ts124246,105
tm85689,105
ts12444,228
tm368679,105
tm897538,65
tm91323,105
tm36636,105
tm52176,105
tm178555,105
tm42831,105
tm135795,75
tm135795,127
tm254052,105
tm166293,105
tm99450,105
tm154375,105
tm241875,233
tm97325,105
tm85563,164
tm85563,77
tm85563,233
tm85563,12
tm85563,75
tm85563,57
tm95507,105
tm308960,77
tm154802,105
tm21155,127
tm21155,75
tm46867,105
tm140653,95
tm160596,77
tm160596,59
tm160596,166
tm160596,197
tm160596,56
tm76399,177
tm226362,999
tm456581,233
tm84316,105
ts39604,228
tm168869,13
tm352243,233
tm89012,65
ts19384,233
tm130999,105
ts23353,198
tm87672,158
tm27275,65
ts23797,228
tm85369,105
tm143510,105
tm311516,105
tm148041,105
tm152413,158
tm21956,218
tm21956,105
ts70843,228
tm57586,105
ts25707,198
tm91125,105
ts13411,233
ts8614,198
tm142153,105
tm100106,177
tm341561,183
tm91176,164
tm91176,233
tm145690,164
ts4924,228
tm88343,105
tm28024,177
ts188031,233
tm89054,999
ts29581,198
tm1077037,105
tm639940,233
tm404676,233
tm598375,105
ts82583,198
tm92671,95
tm252951,233
tm628693,105
tm340006,114
ts8175,77
tm170758,233
tm166064,233
ts20564,233
ts278,77
tm170442,233
tm41792,233
ts21580,233
tm50018,233
ts20660,233
ts21806,233
tm60292,233
tm60292,77
ts27680,77
tm164877,233
tm164877,68
ts21599,233
ts33338,77
tm166548,233
ts32835,114
tm32982,77
tm32982,233
ts17598,233
tm161802,167
tm161802,197
tm161802,233
tm158304,233
tm158304,2
tm72140,233
tm37153,233
tm160433,233
tm39896,233
tm178201,233
tm178201,77
tm59428,233
ts20457,233
ts20429,114
tm176356,233
tm176356,38
tm176507,233
ts6506,38
ts6506,100
ts6506,233
ts20458,59
ts20458,233
tm74848,38
tm74848,233
ts34087,114
tm68272,233
tm60844,114
tm160132,233
ts27468,233
tm172716,233
tm278681,233
tm40319,233
ts20556,233
tm173624,233
ts9794,233
ts20500,167
